model,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,defense,accuracy
rq_n30,pgd,8.0,15,100,0,-,rq,0.6100
rq_n30,none,0,20,100,0,-,rq,94.6800
rq_n30,pgd,8.0,20,100,0,-,rq,0.2300
rq_n30,none,0,30,100,0,-,rq,94.6500
rq_n30,pgd,8.0,30,100,0,-,rq,0.1000
rq_n30,none,0,40,100,0,-,rq,94.6900
rq_n30,pgd,8.0,40,100,0,-,rq,0.0700
rq_n40,none,0,2,100,0,-,rq,46.7700
rq_n40,pgd,8.0,2,100,0,-,rq,30.3700
rq_n40,none,0,3,100,0,-,rq,68.8800
rq_n40,pgd,8.0,3,100,0,-,rq,38.5200
rq_n40,none,0,5,100,0,-,rq,86.2800
rq_n40,pgd,8.0,5,100,0,-,rq,30.8300
rq_n40,none,0,8,100,0,-,rq,92.4700
rq_n40,pgd,8.0,8,100,0,-,rq,12.7300
rq_n40,none,0,10,100,0,-,rq,93.7400
rq_n40,pgd,8.0,10,100,0,-,rq,6.4700
rq_n40,none,0,15,100,0,-,rq,94.6300
rq_n40,pgd,8.0,15,100,0,-,rq,1.1000
rq_n40,none,0,20,100,0,-,rq,94.8700
rq_n40,pgd,8.0,20,100,0,-,rq,0.2900
rq_n40,none,0,30,100,0,-,rq,95.0700
rq_n40,pgd,8.0,30,100,0,-,rq,0.0600
rq_n40,none,0,40,100,0,-,rq,95.0900
rq_n40,pgd,8.0,40,100,0,-,rq,0.0200
